cleaned_file,business_file,has_business_section,has_competition_term_in_business,has_competition_section,business_chars
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-03__KANGE CORP__0001477932-23-000738.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-03__KANGE CORP__0001477932-23-000738_business.txt,True,False,False,5787
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-07__Boardwalk Pipeline Partners, LP__0001336047-23-000006.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-07__Boardwalk Pipeline Partners, LP__0001336047-23-000006.txt",True,False,False,35857
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-07__China WuYi Mountain, Ltd.__0001477932-23-000786.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-07__China WuYi Mountain, Ltd.__0001477932-23-000786.txt",True,False,False,4345
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-07__VARONIS SYSTEMS INC__0001628280-23-002580.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-07__VARONIS SYSTEMS INC__0001628280-23-002580.txt,True,False,False,173430
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-08__AMPHENOL CORP _DE___0001558370-23-001036.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-08__AMPHENOL CORP _DE___0001558370-23-001036.txt,True,False,False,8074
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-08__BLACKSTONE MORTGAGE TRUST, INC.__0001061630-23-000010.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-08__BLACKSTONE MORTGAGE TRUST, INC.__0001061630-23-000010.txt",True,False,False,14808
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-08__HAMMER FIBER OPTICS HOLDINGS CORP__0001062993-23-002443.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-08__HAMMER FIBER OPTICS HOLDINGS CORP__0001062993-23-002443.txt,True,False,False,5973
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__Arax Holdings Corp__0001753926-23-000115.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-09__Arax Holdings Corp__0001753926-23-000115_business.txt,True,False,False,1733
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__BAXTER INTERNATIONAL INC__0001628280-23-002864.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-09__BAXTER INTERNATIONAL INC__0001628280-23-002864_business.txt,True,False,False,15938
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__CMS ENERGY CORP__0000811156-23-000014.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-09__CMS ENERGY CORP__0000811156-23-000014.txt,True,False,False,31957
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__CONSUMERS ENERGY CO__0000811156-23-000014.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-09__CONSUMERS ENERGY CO__0000811156-23-000014.txt,True,False,False,31957
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__DEXCOM INC__0001093557-23-000024.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-09__DEXCOM INC__0001093557-23-000024_business.txt,True,False,False,16425
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__HUBBELL INC__0001628280-23-002875.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-09__HUBBELL INC__0001628280-23-002875.txt,True,False,False,7050
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__LEAR CORP__0000842162-23-000011.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-09__LEAR CORP__0000842162-23-000011_business.txt,True,False,False,586
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__Yellow Corp__0000950170-23-002332.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-09__Yellow Corp__0000950170-23-002332_business.txt,True,False,False,22857
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-10__ITC Holdings Corp.__0001317630-23-000004.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-10__ITC Holdings Corp.__0001317630-23-000004.txt,True,False,False,3615
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-10__Viking Therapeutics, Inc.__0001564590-23-001685.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-10__Viking Therapeutics, Inc.__0001564590-23-001685.txt",True,False,False,134721
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-10__W. P. Carey Inc.__0001025378-23-000035.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-10__W. P. Carey Inc.__0001025378-23-000035.txt,True,False,False,50502
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-10__World Scan Project, Inc.__0001599916-23-000036.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-10__World Scan Project, Inc.__0001599916-23-000036.txt",True,False,False,22312
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-13__Alpine Auto Brokers Inc.__0001829126-23-001461.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-13__Alpine Auto Brokers Inc.__0001829126-23-001461_business.txt,True,False,False,1619
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-14__CLEVELAND-CLIFFS INC.__0000764065-23-000032.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-14__CLEVELAND-CLIFFS INC.__0000764065-23-000032.txt,True,False,False,30660
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-14__FRANKLIN STREET PROPERTIES CORP _MA___0001558370-23-001280.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-14__FRANKLIN STREET PROPERTIES CORP _MA___0001558370-23-001280.txt,True,False,False,5197
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-14__MERCURY GENERAL CORP__0000064996-23-000004.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-14__MERCURY GENERAL CORP__0000064996-23-000004.txt,True,False,False,252767
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-14__NFiniTi inc.__0001477932-23-000995.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-14__NFiniTi inc.__0001477932-23-000995.txt,True,False,False,3462
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-14__Trilogy Metals Inc.__0001558370-23-001217.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-14__Trilogy Metals Inc.__0001558370-23-001217.txt,True,False,False,24906
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-15__BIOGEN INC.__0000875045-23-000009.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-15__BIOGEN INC.__0000875045-23-000009.txt,True,False,False,23188
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-15__InterDigital, Inc.__0001405495-23-000011.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-15__InterDigital, Inc.__0001405495-23-000011.txt",True,False,False,192060
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-15__Paramount Group, Inc.__0000950170-23-002906.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-15__Paramount Group, Inc.__0000950170-23-002906_business.txt",True,False,False,9321
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-15__WARRIOR MET COAL, INC.__0001691303-23-000010.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-15__WARRIOR MET COAL, INC.__0001691303-23-000010.txt",True,False,False,117671
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__ARCH RESOURCES, INC.__0001558370-23-001458.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__ARCH RESOURCES, INC.__0001558370-23-001458.txt",True,False,False,33610
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__CONSOLIDATED EDISON CO OF NEW YORK INC__0001047862-23-000038.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-16__CONSOLIDATED EDISON CO OF NEW YORK INC__0001047862-23-000038_business.txt,True,False,False,7124
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__CONSOLIDATED EDISON INC__0001047862-23-000038.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-16__CONSOLIDATED EDISON INC__0001047862-23-000038_business.txt,True,False,False,7124
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__Crocs, Inc.__0001334036-23-000015.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__Crocs, Inc.__0001334036-23-000015.txt",True,False,False,23323
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__DT Midstream, Inc.__0001842022-23-000006.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-16__DT Midstream, Inc.__0001842022-23-000006_business.txt",True,False,False,1101
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__IDEXX LABORATORIES INC _DE__0000874716-23-000006.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__IDEXX LABORATORIES INC _DE__0000874716-23-000006.txt,True,False,False,52063
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__Motorola Solutions, Inc.__0000068505-23-000015.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-16__Motorola Solutions, Inc.__0000068505-23-000015_business.txt",True,False,False,18592
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__PBF Energy Co LLC__0001534504-23-000011.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__PBF Energy Co LLC__0001534504-23-000011.txt,True,False,False,254169
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__PBF Energy Inc.__0001534504-23-000011.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__PBF Energy Inc.__0001534504-23-000011.txt,True,False,False,254169
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__ROYAL GOLD INC__0001558370-23-001391.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__ROYAL GOLD INC__0001558370-23-001391.txt,True,False,False,152877
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__Sage Therapeutics, Inc.__0000950170-23-002964.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__Sage Therapeutics, Inc.__0000950170-23-002964.txt",True,False,False,35475
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__TEXTRON INC__0000217346-23-000006.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-16__TEXTRON INC__0000217346-23-000006.txt,True,False,False,190081
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__CHIMERA INVESTMENT CORP__0001628280-23-003963.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-17__CHIMERA INVESTMENT CORP__0001628280-23-003963_business.txt,True,False,False,4662
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__HUNTINGTON BANCSHARES INC _MD___0000049196-23-000020.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-17__HUNTINGTON BANCSHARES INC _MD___0000049196-23-000020_business.txt,True,False,False,231572
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__KBR, INC.__0001357615-23-000030.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__KBR, INC.__0001357615-23-000030.txt",True,False,False,25873
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__KENTUCKY UTILITIES CO__0000922224-23-000010.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__KENTUCKY UTILITIES CO__0000922224-23-000010.txt,True,False,False,47173
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__LOUISVILLE GAS & ELECTRIC CO _KY___0000922224-23-000010.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__LOUISVILLE GAS & ELECTRIC CO _KY___0000922224-23-000010.txt,True,False,False,47173
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__NORTHWESTERN CORP__0000073088-23-000028.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__NORTHWESTERN CORP__0000073088-23-000028.txt,True,False,False,11974
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__PPL Corp__0000922224-23-000010.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__PPL Corp__0000922224-23-000010.txt,True,False,False,47173
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__PPL ELECTRIC UTILITIES CORP__0000922224-23-000010.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__PPL ELECTRIC UTILITIES CORP__0000922224-23-000010.txt,True,False,False,47173
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__REGENCY CENTERS CORP__0000950170-23-003160.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__REGENCY CENTERS CORP__0000950170-23-003160.txt,True,False,False,275688
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__REGENCY CENTERS LP__0000950170-23-003160.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__REGENCY CENTERS LP__0000950170-23-003160.txt,True,False,False,275688
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__Vontier Corp__0001786842-23-000011.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-17__Vontier Corp__0001786842-23-000011.txt,True,False,False,19301
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__DOMINION ENERGY, INC__0000950170-23-003287.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-21__DOMINION ENERGY, INC__0000950170-23-003287.txt",True,False,False,13706
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__GLADSTONE LAND Corp__0001495240-23-000005.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-21__GLADSTONE LAND Corp__0001495240-23-000005.txt,True,False,False,30887
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__InvenTrust Properties Corp.__0001307748-23-000031.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-21__InvenTrust Properties Corp.__0001307748-23-000031.txt,True,False,False,139086
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__KELLOGG CO__0001628280-23-004299.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-21__KELLOGG CO__0001628280-23-004299_business.txt,True,False,False,617
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__LINCOLN ELECTRIC HOLDINGS INC__0000059527-23-000004.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-21__LINCOLN ELECTRIC HOLDINGS INC__0000059527-23-000004_business.txt,True,False,False,5181
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__PENSKE AUTOMOTIVE GROUP, INC.__0001019849-23-000038.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-21__PENSKE AUTOMOTIVE GROUP, INC.__0001019849-23-000038.txt",True,False,False,8267
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__VIRGINIA ELECTRIC & POWER CO__0000950170-23-003287.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-21__VIRGINIA ELECTRIC & POWER CO__0000950170-23-003287.txt,True,False,False,13706
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__W.W. GRAINGER, INC.__0000277135-23-000014.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-21__W.W. GRAINGER, INC.__0000277135-23-000014_business.txt",True,False,False,601
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__WEST PHARMACEUTICAL SERVICES INC__0000105770-23-000012.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-21__WEST PHARMACEUTICAL SERVICES INC__0000105770-23-000012.txt,True,False,False,8170
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__Bloomin' Brands, Inc.__0001546417-23-000009.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__Bloomin' Brands, Inc.__0001546417-23-000009.txt",True,False,False,1933
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__Coca-Cola Consolidated, Inc.__0000317540-23-000009.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__Coca-Cola Consolidated, Inc.__0000317540-23-000009.txt",True,False,False,22877
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__Crescent Capital BDC, Inc.__0000950170-23-003786.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__Crescent Capital BDC, Inc.__0000950170-23-003786.txt",True,False,False,5187
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__FUEL DOCTOR HOLDINGS, INC.__0001017386-23-000067.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-22__FUEL DOCTOR HOLDINGS, INC.__0001017386-23-000067_business.txt",True,False,False,3963
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__GLADSTONE COMMERCIAL CORP__0001234006-23-000003.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__GLADSTONE COMMERCIAL CORP__0001234006-23-000003.txt,True,False,False,27809
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__Kennedy-Wilson Holdings, Inc.__0001408100-23-000055.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__Kennedy-Wilson Holdings, Inc.__0001408100-23-000055.txt",True,False,False,204199
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__MADISON GAS & ELECTRIC CO__0000950170-23-003632.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__MADISON GAS & ELECTRIC CO__0000950170-23-003632.txt,True,False,False,30287
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__MGE ENERGY INC__0000950170-23-003632.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__MGE ENERGY INC__0000950170-23-003632.txt,True,False,False,30287
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__OLD DOMINION FREIGHT LINE, INC.__0000950170-23-003783.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-22__OLD DOMINION FREIGHT LINE, INC.__0000950170-23-003783_business.txt",True,False,False,49239
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__PNC FINANCIAL SERVICES GROUP, INC.__0000713676-23-000020.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__PNC FINANCIAL SERVICES GROUP, INC.__0000713676-23-000020.txt",True,False,False,4056
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__REALTY INCOME CORP__0000726728-23-000044.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-22__REALTY INCOME CORP__0000726728-23-000044_business.txt,True,False,False,20502
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__SHERWIN WILLIAMS CO__0000089800-23-000007.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__SHERWIN WILLIAMS CO__0000089800-23-000007.txt,True,False,False,7862
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__SSR MINING INC.__0000921638-23-000037.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__SSR MINING INC.__0000921638-23-000037.txt,True,False,False,5638
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__TELLURIAN INC. _DE___0000061398-23-000011.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-22__TELLURIAN INC. _DE___0000061398-23-000011_business.txt,True,False,False,18625
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__Vado Corp.__0001185185-23-000157.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-22__Vado Corp.__0001185185-23-000157_business.txt,True,False,False,2477
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__Vital Energy, Inc.__0001528129-23-000048.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-22__Vital Energy, Inc.__0001528129-23-000048.txt",True,False,False,169054
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__APA Corp__0001784031-23-000007.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-23__APA Corp__0001784031-23-000007_business.txt,True,False,False,788
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__APACHE CORP__0001784031-23-000008.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-23__APACHE CORP__0001784031-23-000008_business.txt,True,False,False,542
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__APACHE OFFSHORE INVESTMENT PARTNERSHIP__0001673379-23-000003.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-23__APACHE OFFSHORE INVESTMENT PARTNERSHIP__0001673379-23-000003.txt,True,False,False,11664
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__Armada Hoffler Properties, Inc.__0001569187-23-000010.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-23__Armada Hoffler Properties, Inc.__0001569187-23-000010.txt",True,False,False,206878
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__Barings Private Credit Corp__0001859919-23-000006.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-23__Barings Private Credit Corp__0001859919-23-000006.txt,True,False,False,336687
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__Cheniere Corpus Christi Holdings, LLC__0001693317-23-000002.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-23__Cheniere Corpus Christi Holdings, LLC__0001693317-23-000002_business.txt",True,False,False,18631
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__Cheniere Energy Partners, L.P.__0001383650-23-000008.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-23__Cheniere Energy Partners, L.P.__0001383650-23-000008_business.txt",True,False,False,20236
